Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,Aberdeen City,2010-11,0.406679401,785.0187987,1922292
C&L01,Aberdeen City,2011-12,0.922524281,1886.603428,2045051
C&L01,Aberdeen City,2012-13,4.335545113,9381.043169,2163756
C&L01,Aberdeen City,2013-14,4.044078167,8988.323761,2222588
C&L01,Aberdeen City,2014-15,3.476122401,8645.573117,2487138
C&L01,Aberdeen City,2015-16,3.576911507,9118.070813,2549135
C&L01,Aberdeen City,2016-17,3.764975989,9022.588442,2396458
C&L01,Aberdeen City,2017-18,3.51515641,8767.620763,2494247
C&L01,Aberdeen City,2018-19,3.83741636,8554.495867,2229239
C&L01,Aberdeen City,2019-20,3.636288139,4163.802921,1145072
C&L01,Aberdeen City,2020-21,28.40821458,7216.858869,254040
C&L01,Aberdeenshire,2010-11,5.52098096,6951.791277,1260286
C&L01,Aberdeenshire,2011-12,3.501223083,6646.817097,1898433
C&L01,Aberdeenshire,2012-13,3.712267118,7498.408348,2019904
C&L01,Aberdeenshire,2013-14,3.700061656,7501.51587,2027402
C&L01,Aberdeenshire,2014-15,3.96130022,7362.021222,1858491
C&L01,Aberdeenshire,2015-16,3.78563955,7098.31011,1875054
C&L01,Aberdeenshire,2016-17,5.320649542,11146.86577,2095024
C&L01,Aberdeenshire,2017-18,2.797889576,6380.348317,2280427
C&L01,Aberdeenshire,2018-19,2.702020207,6111.586273,2261864
C&L01,Aberdeenshire,2019-20,3.14172027,6973.052234,2219506
C&L01,Aberdeenshire,2020-21,30.81283181,8601.321698,279146
C&L01,Angus,2010-11,2.41542917,3788.301079,1568948
C&L01,Angus,2011-12,2.133204077,3093.349765,1450100
C&L01,Angus,2012-13,2.12164737,2827.522335,1332704
C&L01,Angus,2013-14,1.813519287,2777.003471,1531278
C&L01,Angus,2014-15,1.89360757,2848.887137,1504480
C&L01,Angus,2015-16,1.76495906,2726.162579,1544597
C&L01,Angus,2016-17,3.068614556,4583.966866,1493826
C&L01,Angus,2017-18,2.500182326,3911.741544,1564591
C&L01,Angus,2018-19,2.679902553,3865.963728,1442580
C&L01,Angus,2019-20,3.025403986,3698.932773,1222627
C&L01,Angus,2020-21,116.0810204,3041.918329,26205
C&L01,Argyll & Bute,2010-11,2.982315608,1959.466075,656840
C&L01,Argyll & Bute,2011-12,3.064327743,1845.32639,602198
C&L01,Argyll & Bute,2012-13,2.960392147,1820.753019,615039
C&L01,Argyll & Bute,2013-14,2.817166487,1704.361158,604991
C&L01,Argyll & Bute,2014-15,3.170165277,1820.665458,574314
C&L01,Argyll & Bute,2015-16,3.526104719,1924.887959,545894
C&L01,Argyll & Bute,2016-17,3.700205144,1758.67802,475293
C&L01,Argyll & Bute,2017-18,3.241455989,1600.307864,493703
C&L01,Argyll & Bute,2018-19,3.154602175,1675.32282,531074
C&L01,Argyll & Bute,2019-20,2.942137538,1675.008314,569318
C&L01,Argyll & Bute,2020-21,19.68002168,1513.775147,76919
C&L01,Clackmannanshire,2010-11,3.697085464,2019.852137,545939
C&L01,Clackmannanshire,2011-12,3.526296518,1966.729442,557734
C&L01,Clackmannanshire,2012-13,3.697407488,2049.239672,554238
C&L01,Clackmannanshire,2013-14,3.213098704,1836.987214,571718
C&L01,Clackmannanshire,2014-15,1.921091625,1129.433657,587914
C&L01,Clackmannanshire,2015-16,1.940575408,1079.03458,556036
C&L01,Clackmannanshire,2016-17,1.905277482,1026.361362,538695
C&L01,Clackmannanshire,2017-18,1.094984883,537.466034,490846
C&L01,Clackmannanshire,2018-19,0.80510198,448.4776661,557046
C&L01,Clackmannanshire,2019-20,0.882184794,549.2003347,622547
C&L01,Clackmannanshire,2020-21,17.83068199,790.241941,44319
C&L01,Dumfries & Galloway,2010-11,5.126625177,6636.304915,1293585
C&L01,Dumfries & Galloway,2011-12,6.183120636,7977.394547,1290193
C&L01,Dumfries & Galloway,2012-13,6.375605982,7875.649333,1235281
C&L01,Dumfries & Galloway,2013-14,6.776442516,8050.634277,1188032
C&L01,Dumfries & Galloway,2014-15,7.92021029,8609.918898,1087085
C&L01,Dumfries & Galloway,2015-16,6.979433585,7736.12928,1108413
C&L01,Dumfries & Galloway,2016-17,3.999158682,4581.730785,1145676
C&L01,Dumfries & Galloway,2017-18,3.48924856,4416.234201,1265676
C&L01,Dumfries & Galloway,2018-19,3.964814153,5088.496597,1283417
C&L01,Dumfries & Galloway,2019-20,3.677609676,5351.804413,1455243
C&L01,Dumfries & Galloway,2020-21,29.44787588,5765.687305,195792
C&L01,Dundee City,2010-11,1.922484441,2801.17383,1460938
C&L01,Dundee City,2011-12,2.771680509,4054.861937,1462966
